report_no,name,energy,protein,fat,carbohydrate,sugars,sodium,cholesterol,saturated_fat,trans_fat,dietary_fiber
20050275198504,K베이글 플레인,305.0,10.0,3.7,58.0,13.0,463.0,48.0,2.2,0.0,0.0
20050275198505,K베이글 어니언,308.0,10.0,3.6,59.0,15.0,458.0,47.0,2.1,0.0,0.0
20050275198506,K베이글 바질,339.0,10.0,7.0,59.0,13.0,461.0,37.0,2.5,0.0,0.0
20050275198507,K베이글 올리브,383.0,9.0,15.0,53.0,12.0,426.0,43.0,3.5,0.0,0.0
20050342257988,HBD초코초코생일케이크,275.0,5.0,15.0,31.0,19.0,150.0,15.0,8.0,0.0,0.0
20050344143227,BEDDAR WITH CHEDDAR ROLL BAKE 베다체다 롤 베이크,307.0,11.82,18.18,24.55,3.64,753.0,57.27,6.36,0.0,0.0
20050355345248,1호뉴욕치즈케익,335.0,5.88,21.11,30.41,22.77,162.0,135.57,13.7,0.43,0.0
20050355345249,2호뉴욕치즈케익,336.0,5.97,20.62,31.69,23.08,162.0,133.75,13.05,0.39,0.0
20050355345251,1호부오노티라미수,305.0,4.48,20.29,26.0,20.56,168.0,71.88,12.4,0.05,0.0
20050355345252,2호부오노티라미수,305.0,4.35,20.51,25.71,20.89,167.0,63.18,10.92,0.05,0.0
20050355345254,1호초코무스,386.0,4.56,19.06,48.97,22.87,73.0,82.31,14.65,0.0,0.0
20050358194245,12곡미숫가루,420.0,17.4,6.5,72.9,1.6,36.0,0.0,1.0,0.0,0.0
20050358194247,20곡미숫가루,419.0,17.8,6.9,71.5,2.2,66.0,0.0,1.0,0.0,0.0
200503682361310,3XL치킨마요,190.0,4.54,6.47,28.36,2.18,384.0,13.11,1.21,0.04,0.0
20050372172722,Dual support 콘드로이친 파워 MBP 1200,375.0,0.3,0.5,92.3,16.5,13.0,0.0,0.4,0.0,0.0
20050372172747,MBP 맥스 콘드로이친 1200 + 비타민 D3,369.0,5.26,1.08,84.57,66.07,139.0,0.0,0.95,0.0,0.0
200504150203100,I’m e 단호박샐러드,183.0,1.33,12.0,17.33,6.67,207.0,6.67,2.8,0.0,0.0
200504150203102,I’m e 콘샐러드,150.0,2.67,6.67,20.0,5.33,220.0,3.13,1.2,0.0,0.0
